Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,methodology
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1974,1974,1000 tonnes,77.48,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1975,1975,1000 tonnes,111.07,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1976,1976,1000 tonnes,69.23,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1977,1977,1000 tonnes,44.15,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1978,1978,1000 tonnes,18.92,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1979,1979,1000 tonnes,25.41,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1980,1980,1000 tonnes,69.21,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1981,1981,1000 tonnes,38.65,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1982,1982,1000 tonnes,38.99,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1983,1983,1000 tonnes,53.31,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1984,1984,1000 tonnes,42.23,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1985,1985,1000 tonnes,69.59,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1986,1986,1000 tonnes,55.73,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1987,1987,1000 tonnes,66.87,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1988,1988,1000 tonnes,82.09,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1989,1989,1000 tonnes,144.28,I,Imputed value,old
FBSH,"Food Balances (-2013, old methodology and population)",36,Australia,5521,Feed,S2763,Pelagic Fish,1990,1990,1000 tonnes,211.86,I,Imputed value,old
